WAIT,100,230.81
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,28.57
WAIT,0,0
CHASE,100,255.79
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,32.23
WAIT,0,0
CHASE,0,0
ACQUIRE,100,283.71
FETCH,0,0
RETURN,0,0
1,35.02
WAIT,0,0
CHASE,0,0
ACQUIRE,0,0
FETCH,100,314.81
RETURN,0,0
1,80.16
WAIT,0,0
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,100,199.69
1,22.97
WAIT,0,0
CHASE,18,421.16
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,13.21
WAIT,20,292.34
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,9.32
WAIT,0,0
CHASE,20,344.5
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,10.55
WAIT,0,0
CHASE,0,0
ACQUIRE,20,347.59
FETCH,0,0
RETURN,0,0
1,10.22
WAIT,0,0
CHASE,0,0
ACQUIRE,0,0
FETCH,20,370.38
RETURN,0,0
1,10.77
WAIT,0,0
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,20,434.31
1,14.75
