WAIT,21,197.92
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,5.55
WAIT,0,0
CHASE,21,191.73
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,5.33
WAIT,0,0
CHASE,0,0
ACQUIRE,19,195.54
FETCH,0,0
RETURN,0,0
1,5.48
WAIT,0,0
CHASE,0,0
ACQUIRE,0,0
FETCH,21,200.12
RETURN,0,0
1,5.54
WAIT,0,0
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,18,223.12
1,5.55
WAIT,21,199.26
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,5.57
WAIT,0,0
CHASE,21,192.68
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,5.33
WAIT,0,0
CHASE,0,0
ACQUIRE,19,196.33
FETCH,0,0
RETURN,0,0
1,5.46
WAIT,0,0
CHASE,0,0
ACQUIRE,0,0
FETCH,21,200.28
RETURN,0,0
1,5.56
WAIT,0,0
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,18,228.19
1,5.54
WAIT,0,0
CHASE,0,0
ACQUIRE,0,0
FETCH,106712,0.03
RETURN,0,0
1,4.34
WAIT,103791,0.03
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,3.54
WAIT,2,204.15
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,1.39
WAIT,233,198.98
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,50.17
WAIT,42,195.28
CHASE,0,0
ACQUIRE,0,0
FETCH,0,0
RETURN,0,0
1,10.45
